CODE,LABEL,YEAR,LAND AREA  ha,WATER USE ON AUSTRALIAN FARMS Area of agricultural land ha,WATER USE ON AUSTRALIAN FARMS Area irrigated ha,WATER USE ON AUSTRALIAN FARMS Volume of water applied ML,"WATER USE ON AUSTRALIAN FARMS Application rate, area watered and used ML/ha",PROTECTED AREAS  Indigenous Protected Area no.,PROTECTED AREAS National Parks no.,PROTECTED AREAS Nature Reserves no.,PROTECTED AREAS All Other Protected Areas no.,PROTECTED AREAS Total no.,PROTECTED AREAS  Indigenous Protected Area ha,PROTECTED AREAS National Parks ha,PROTECTED AREAS Nature Reserves ha,PROTECTED AREAS All Other Protected Areas ha,PROTECTED AREAS Total ha,PROTECTED AREAS  Indigenous Protected Area %,PROTECTED AREAS National Parks %,PROTECTED AREAS Nature Reserves %,PROTECTED AREAS All Other Protected Areas %,PROTECTED AREAS Total %,SOLAR INSTALLATIONS Small-Scale Solar Panel System Installations no.,SOLAR INSTALLATIONS Increase in installations from previous year %,SOLAR INSTALLATIONS Solar Water Heater Installations no.,SOLAR INSTALLATIONS Increase in SWH installations from previous year %
0,Australia,2011,-,"388,994,482","1,837,538","6,326,065",3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,Australia,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,366,946",-,"723,088",-
0,Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,508,334",10.3,"771,017",6.6
0,Australia,2016,-,"371,078,257","2,147,915","8,381,399",3.9,74,"1,049","1,754","7,713","10,590","66,786,266","35,894,609","11,254,389","36,983,126","150,918,390",8.7,4.7,1.5,4.8,19.6,"1,640,901",8.8,"816,700",5.9
0,Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,815,621",10.6,"861,791",5.5
0,Australia,2018,"768,812,631.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2011,-,"53,566,048","625,496","2,591,293",4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,New South Wales,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"293,406",-,"181,517",-
1,New South Wales,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"326,859",11.4,"187,571",3.3
1,New South Wales,2016,-,"53,438,094","668,330","2,610,856",3.9,10,328,426,178,942,"15,952","4,318,246","961,406","2,158,529","7,454,133",-,5.4,1.2,2.7,9.3,"356,351",9,"193,522",3.2
1,New South Wales,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"399,469",12.1,"199,105",2.9
1,New South Wales,2018,"80,081,078.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2011,-,"11,490,619","454,919","1,067,734",2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Victoria,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"247,056",-,"179,004",-
2,Victoria,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"278,359",12.7,"200,530",12
2,Victoria,2016,-,"10,676,372","563,168","1,946,125",3.5,5,103,-,"2,919","3,027","3,695","3,068,427",-,"844,670","3,916,792",-,13.5,-,3.7,17.2,"305,026",9.6,"222,283",10.8
2,Victoria,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"336,324",10.3,"245,200",10.3
2,Victoria,2018,"22,749,563.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2011,-,"134,215,307","452,618","1,654,592",3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Queensland,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"426,064",-,"168,775",-
3,Queensland,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"465,576",9.3,"177,206",5
3,Queensland,2016,-,"127,550,908","529,637","2,433,478",4.6,12,315,4,831,"1,162","575,370","9,726,068",995,"4,298,997","14,601,431",0.3,5.6,-,2.5,8.4,"499,978",7.4,"184,374",4
3,Queensland,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"546,411",9.3,"191,458",3.8
3,Queensland,2018,"173,017,208.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2011,-,"50,020,160","170,439","591,781",3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,South Australia,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"180,991",-,"39,250",-
4,South Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"193,071",6.7,"41,070",4.6
4,South Australia,2016,-,"47,579,721","190,177","777,769",4.1,10,16,-,"1,962","1,988","6,192,946","1,357,440",-,"22,038,496","29,588,883",6.3,1.4,-,22.4,30.1,"205,680",6.5,"42,585",3.7
4,South Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"221,865",7.9,"43,695",2.6
4,South Australia,2018,"98,427,490.80",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2011,-,"82,785,251","48,987","233,897",4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Western Australia,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"175,173",-,"126,643",-
5,Western Australia,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"195,943",11.9,"134,998",6.6
5,Western Australia,2016,-,"76,802,353","87,754","287,506",3.3,14,231,"1,208",327,"1,780","33,920,936","12,573,048","10,244,526","2,039,259","58,777,768",13.4,5,4.1,0.8,23.3,"220,121",12.3,"142,761",5.8
5,Western Australia,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"251,516",14.3,"149,732",4.9
5,Western Australia,2018,"252,664,623.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2011,-,"1,499,055","79,087","164,900",2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,Tasmania,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,241",-,"6,378",-
6,Tasmania,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,255",8.3,"6,662",4.5
6,Tasmania,2016,-,"1,459,082","103,876","308,689",3,8,44,72,"1,418","1,542","11,167","1,553,801","23,374","1,305,985","2,894,327",0.2,22.7,0.3,19.1,42.3,"28,742",9.5,"6,881",3.3
6,Tasmania,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,136",8.3,"7,095",3.1
6,Tasmania,2018,"6,801,786.10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2011,-,"55,391,452","5,803","21,585",3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,Northern Territory,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,914",-,"13,512",-
7,Northern Territory,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,097",30.2,"14,441",6.9
7,Northern Territory,2016,-,"53,546,280","4,696","16,879",3.6,15,7,-,62,84,"26,066,201","3,210,122",-,"4,237,736","33,514,060",19.3,2.4,-,3.1,24.9,"6,824",33.9,"15,301",6
7,Northern Territory,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,771",28.5,"16,157",5.6
7,Northern Territory,2018,"134,809,432.80",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2011,-,"26,590",188,283,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Australian Capital Territory,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,475",-,"7,836",-
8,Australian Capital Territory,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,539",6.9,"8,350",6.6
8,Australian Capital Territory,2016,-,"25,448",277,97,0.4,-,1,44,2,47,-,"77,780","24,087","28,962","130,830",-,33,10.2,12.3,55.5,"17,533",6,"8,783",5.2
8,Australian Capital Territory,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,478",11.1,"9,121",3.8
8,Australian Capital Territory,2018,"235,817.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1GSYD,Greater Sydney,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"132,060",-,"61,308",-
1GSYD,Greater Sydney,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"145,923",10.5,"63,054",2.8
1GSYD,Greater Sydney,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"157,904",8.2,"64,795",2.8
1GSYD,Greater Sydney,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"174,489",10.5,"66,366",2.4
1GSYD,Greater Sydney,2018,"1,236,819.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1RNSW,Rest of NSW,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"161,346",-,"120,209",-
1RNSW,Rest of NSW,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"180,936",12.1,"124,517",3.6
1RNSW,Rest of NSW,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"198,447",9.7,"128,727",3.4
1RNSW,Rest of NSW,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"224,980",13.4,"132,739",3.1
1RNSW,Rest of NSW,2018,"78,844,258.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2GMEL,Greater Melbourne,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"153,791",-,"117,900",-
2GMEL,Greater Melbourne,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"174,309",13.3,"133,559",13.3
2GMEL,Greater Melbourne,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"191,042",9.6,"149,863",12.2
2GMEL,Greater Melbourne,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"209,780",9.8,"167,252",11.6
2GMEL,Greater Melbourne,2018,"999,251.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2RVIC,Rest of Vic.,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"93,265",-,"61,104",-
2RVIC,Rest of Vic.,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"104,050",11.6,"66,971",9.6
2RVIC,Rest of Vic.,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"113,984",9.5,"72,420",8.1
2RVIC,Rest of Vic.,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"126,544",11,"77,948",7.6
2RVIC,Rest of Vic.,2018,"21,750,311.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3GBRI,Greater Brisbane,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"211,505",-,"76,048",-
3GBRI,Greater Brisbane,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"230,928",9.2,"80,175",5.4
3GBRI,Greater Brisbane,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"246,365",6.7,"83,488",4.1
3GBRI,Greater Brisbane,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"266,239",8.1,"86,672",3.8
3GBRI,Greater Brisbane,2018,"1,584,196.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3RQLD,Rest of Qld,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"214,559",-,"92,727",-
3RQLD,Rest of Qld,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"234,648",9.4,"97,031",4.6
3RQLD,Rest of Qld,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"253,613",8.1,"100,886",4
3RQLD,Rest of Qld,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"280,172",10.5,"104,786",3.9
3RQLD,Rest of Qld,2018,"171,433,012.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4GADE,Greater Adelaide,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"128,799",-,"26,585",-
4GADE,Greater Adelaide,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"137,011",6.4,"27,664",4.1
4GADE,Greater Adelaide,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"145,684",6.3,"28,595",3.4
4GADE,Greater Adelaide,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"157,779",8.3,"29,429",2.9
4GADE,Greater Adelaide,2018,"325,983.60",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4RSAU,Rest of SA,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"52,192",-,"12,665",-
4RSAU,Rest of SA,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"56,060",7.4,"13,406",5.9
4RSAU,Rest of SA,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"59,996",7,"13,990",4.4
4RSAU,Rest of SA,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"64,086",6.8,"14,266",2
4RSAU,Rest of SA,2018,"98,101,507.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5GPER,Greater Perth,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"144,367",-,"92,068",-
5GPER,Greater Perth,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"161,194",11.7,"98,686",7.2
5GPER,Greater Perth,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"180,723",12.1,"104,858",6.3
5GPER,Greater Perth,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"207,229",14.7,"110,294",5.2
5GPER,Greater Perth,2018,"641,622.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5RWAU,Rest of WA,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,806",-,"34,575",-
5RWAU,Rest of WA,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"34,749",12.8,"36,312",5
5RWAU,Rest of WA,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"39,398",13.4,"37,903",4.4
5RWAU,Rest of WA,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"44,287",12.4,"39,438",4
5RWAU,Rest of WA,2018,"252,023,001.70",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6GHOB,Greater Hobart,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,260",-,"2,893",-
6GHOB,Greater Hobart,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,857",5.8,"2,983",3.1
6GHOB,Greater Hobart,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,659",7.4,"3,042",2
6GHOB,Greater Hobart,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,465",6.9,"3,118",2.5
6GHOB,Greater Hobart,2018,"169,535.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6RTAS,Rest of Tas.,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,981",-,"3,485",-
6RTAS,Rest of Tas.,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,398",10.1,"3,679",5.6
6RTAS,Rest of Tas.,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,083",10.9,"3,839",4.3
6RTAS,Rest of Tas.,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,671",9.3,"3,977",3.6
6RTAS,Rest of Tas.,2018,"6,632,250.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7GDAR,Greater Darwin,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,303",-,"9,711",-
7GDAR,Greater Darwin,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,992",29.9,"10,487",8
7GDAR,Greater Darwin,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,192",40.1,"11,138",6.2
7GDAR,Greater Darwin,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,680",35.5,"11,834",6.2
7GDAR,Greater Darwin,2018,"316,390.60",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7RNTE,Rest of NT,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,611",-,"3,801",-
7RNTE,Rest of NT,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,105",30.7,"3,954",4
7RNTE,Rest of NT,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,632",25,"4,163",5.3
7RNTE,Rest of NT,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,091",17.4,"4,323",3.8
7RNTE,Rest of NT,2018,"134,493,042.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8ACTE,Australian Capital Territory,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,475",-,"7,836",-
8ACTE,Australian Capital Territory,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,539",6.9,"8,350",6.6
8ACTE,Australian Capital Territory,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,533",6,"8,783",5.2
8ACTE,Australian Capital Territory,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,478",11.1,"9,121",3.8
8ACTE,Australian Capital Territory,2018,"235,817.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9OTER,Other Territories,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626,-,173,-
9OTER,Other Territories,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,635,1.4,189,9.2
9OTER,Other Territories,2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,646,1.7,210,11.1
9OTER,Other Territories,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,651,0.8,228,8.6
9OTER,Other Territories,2018,"25,631.60",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,Capital Region,2011,-,"2,201,829","11,155","21,662",1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,Capital Region,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,011",-,"7,833",-
101,Capital Region,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,819",13.9,"8,045",2.7
101,Capital Region,2016,-,"2,190,060","12,411","15,508",1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,369",10.5,"8,252",2.6
101,Capital Region,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,683",14.1,"8,543",3.5
101,Capital Region,2018,"5,189,556.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,Central Coast,2011,-,"9,456","1,195","2,387",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,Central Coast,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,056",-,"9,910",-
102,Central Coast,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,738",12,"10,163",2.6
102,Central Coast,2016,-,"9,889",938,"2,354",2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,440",10.8,"10,457",2.9
102,Central Coast,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,584",12.3,"10,719",2.5
102,Central Coast,2018,"168,107.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,Central West,2011,-,"5,016,665","31,759","79,815",2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,Central West,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,583",-,"4,019",-
103,Central West,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,348",16.7,"4,151",3.3
103,Central West,2016,-,"4,753,670","39,128","117,200",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,662",10.6,"4,262",2.7
103,Central West,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,316",12.1,"4,339",1.8
103,Central West,2018,"7,029,706.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,Coffs Harbour - Grafton,2011,-,"359,394","2,007","3,717",1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,Coffs Harbour - Grafton,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,883",-,"12,729",-
104,Coffs Harbour - Grafton,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,070",12,"13,137",3.2
104,Coffs Harbour - Grafton,2016,-,"336,600","2,520","4,945",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,073",9.1,"13,643",3.9
104,Coffs Harbour - Grafton,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,673",13.3,"14,082",3.2
104,Coffs Harbour - Grafton,2018,"1,322,975.80",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,Far West and Orana,2011,-,"25,478,358","64,667","321,467",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,Far West and Orana,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,258",-,"2,723",-
105,Far West and Orana,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,587",11.8,"2,817",3.5
105,Far West and Orana,2016,-,"25,114,759","37,549","267,737",7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,067",11.8,"2,877",2.1
105,Far West and Orana,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,880",12.9,"2,939",2.2
105,Far West and Orana,2018,"33,936,369.30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,Hunter Valley exc Newcastle,2011,-,"819,309","24,709","55,599",2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,Hunter Valley exc Newcastle,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,295",-,"11,575",-
106,Hunter Valley exc Newcastle,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,899",12.1,"12,012",3.8
106,Hunter Valley exc Newcastle,2016,-,"870,710","17,482","42,562",2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,521",10.9,"12,479",3.9
106,Hunter Valley exc Newcastle,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19,564",18.4,"12,926",3.6
106,Hunter Valley exc Newcastle,2018,"2,149,129.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,Illawarra,2011,-,"11,388",185,354,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,Illawarra,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,263",-,"8,361",-
107,Illawarra,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,291",9.1,"8,540",2.1
107,Illawarra,2016,-,"7,050",289,360,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,099",6.6,"8,688",1.7
107,Illawarra,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,495",10.7,"8,887",2.3
107,Illawarra,2018,"153,891.90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,Mid North Coast,2011,-,"404,339","5,566","10,503",1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,Mid North Coast,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"17,068",-,"19,315",-
108,Mid North Coast,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,889",10.7,"20,033",3.7
108,Mid North Coast,2016,-,"344,393","4,935","13,467",2.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,525",8.7,"20,737",3.5
108,Mid North Coast,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"22,682",10.5,"21,366",3
108,Mid North Coast,2018,"1,885,150.00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,Murray,2011,-,"8,123,654","162,798","605,705",3.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,Murray,2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,259",-,"2,007",-
