LABEL,lat,long
Cootamundra,-34.6394513,148.025723
Coramba - Nana Glen - Bucca,-30.1453361,153.0628935
Corowa,-35.9995747,146.3906094
Corowa Region,-35.9995747,146.3906094
Corrimal - Tarrawanna - Bellambi,-34.3726297,150.8881576
Cowra,-33.81112855,148.693565
Cowra Region,-33.81112855,148.693565
Cremorne - Cammeray,-33.82755885,151.2171363
Cromer,-33.7385227,151.2762995
Cronulla - Kurnell - Bundeena,-34.0575259,151.1523851
Crows Nest - Waverton,-33.8380705,151.1976558
Croydon Park - Enfield,-34.8802501,138.5674908
Culburra Beach,-34.9349,150.7538
Dapto - Avondale,-34.5008305,150.7887657
Darlinghurst,-33.8783381,151.219225
Dee Why - North Curl Curl,-33.7536635,151.2899954
Deniliquin,-35.5302183,144.9597178
Deniliquin Region,-35.5302183,144.9597178
Deua - Wadbilliga,-35.9247222,149.8138889
Doonside - Woodcroft,-33.7632335,150.8770306
Dorrigo,-30.3399677,152.7120341
Double Bay - Bellevue Hill,-33.8766373,151.24245
Douglas Park - Appin,-34.19,150.7011111
Dover Heights,-33.8739831,151.2810366
Drummoyne - Rodd Point,-33.865633,151.1496693
Dubbo - East,-32.2478964,148.6026502
Dubbo - South,-32.2478964,148.6026502
Dubbo - West,-32.2478964,148.6026502
Dubbo Region,-32.2478964,148.6026502
Dulwich Hill - Lewisham,-33.9023012,151.1421824
Dungog,-32.3472009,151.6262439
Dural - Kenthurst - Wisemans Ferry,-33.6876398,151.0267199
Eastwood - Denistone,-33.792947,151.0885865
Eden,-37.0640494,149.9035118
Edensor Park,-33.8802849,150.8762602
Edgeworth - Cameron Park,-32.9197222,151.6311111
Elderslie - Harrington Park,-34.0557894,150.7084088
Emu Plains - Leonay,-33.7483333,150.6677778
Engadine,-34.0650134,151.0138225
Epping - North Epping,-33.7718546,151.0745367
Erina - Green Point,-33.44,151.3927778
Ermington - Rydalmere,-33.8176739,151.0438691
Erskine Park,-33.8086111,150.8013889
Erskineville - Alexandria,-33.906331,151.1866643
Ettrema - Sassafras - Budawang,-34.8813889,150.3044444
Eurobodalla Hinterland,-35.93293665,149.9244007
Evans Head,-29.1174093,153.4312097
Fairfield,-33.86744035,150.8893104
Fairfield - East,-33.8747423,150.9721298
Fairfield - West,-33.8689308,150.9243383
Far West,-30.3321766,147.4174683
Figtree - Keiraville,-34.4307377,150.8487279
Five Dock - Abbotsford,-33.8486333,151.1729519
Forbes,-33.37877205,147.9534388
Forestville - Killarney Heights,-33.76474215,151.2089548
Forster,-32.1820852,152.5131155
Forster-Tuncurry Region,-32.15143805,152.4827055
Frenchs Forest - Belrose,-33.7387359,151.2106749
Freshwater - Brookvale,-33.76802455,151.279795
Galston - Laughtondale,-33.6467002,151.0642498
Gilgandra,-31.63258185,148.7044489
Gladesville - Huntleys Point,-33.84279445,151.1484815
Glebe - Forest Lodge,-33.8800861,151.1772737
Glen Innes,-29.7379146,151.7356326
Glendale - Cardiff - Hillsborough,-32.9288889,151.6505556
Glendenning - Dean Park,-33.7483333,150.8511111
Glenhaven,-33.7027383,151.0008049
Glenmore Park - Regentville,-33.7780126,150.6624753
Glenwood,-33.7331483,150.928232
Gloucester,-32.0067278,151.9595082
Goonellabah,-28.815,153.3177777
Gordon - Killara,-33.7596987,151.183976
Gorokan - Kanwal - Charmhaven,-33.2562494,151.5140288
Gosford - Springfield,-33.4232322,151.3677115
Goulburn,-34.7523871,149.7198009
Goulburn Region,-34.7523871,149.7198009
Grafton,-29.69125,152.9333435
Grafton Region,-29.69125,152.9333435
Granville - Clyde,-33.8359746,151.017066
Green Valley,-33.9024601,150.8674187
Greenacre - Mount Lewis,-33.9156089,151.0499433
Greenfield Park - Prairiewood,-33.87162495,150.8901356
Grenfell,-33.8967902,148.160764
Greystanes - Pemulwuy,-33.8237686,150.9326015
Griffith (NSW),-34.2870772,146.0551022
Griffith Region,-34.2870772,146.0551022
Guildford - South Granville,-33.857368,151.0068591
Guildford West - Merrylands West,-33.8483084,150.9657421
Gundagai,-34.80940095,148.1088141
Gunnedah,-31.02375935,150.2036527
Gunnedah Region,-31.02375935,150.2036527
Gymea - Grays Point,-34.0341447,151.085653
Haberfield - Summer Hill,-33.8794325,151.1391605
Hamilton - Broadmeadow,-32.9231318,151.7344455
Hassall Grove - Plumpton,-33.7316667,150.8344444
Hay,-34.1573005,144.890393
Heathcote - Waterfall,-34.0688775,151.0373446
Helensburgh,-34.1908519,150.9822187
Hill Top - Colo Vale,-34.4004648,150.4839022
Hinchinbrook,-33.9159661,150.8645957
Holsworthy - Wattle Grove,-33.9597307,150.9502719
Homebush,-33.860451,151.0806118
Homebush Bay - Silverwater,-33.8306908,151.0805789
Hornsby - East,-33.5724083,151.1317755
Hornsby - West,-33.5724083,151.1317755
Horsley - Kembla Grange,-34.470167,150.8175203
Horsley Park - Kemps Creek,-33.8387723,150.8484629
Hoxton Park - Carnes Hill - Horningsea Park,-33.9294022,150.8560164
Hunters Hill - Woolwich,-33.8401988,151.1710614
Hurstville,-33.960707,151.1003611
Huskisson - Vincentia,-35.0384877,150.670708
Illawarra Catchment Reserve,-34.46145045,150.7904074
Illawong - Alfords Point,-33.9981649,151.0260963
Ingleburn - Denham Court,-33.9688801,150.8142247
Inverell,-29.31495375,151.1146378
Inverell Region - East,-29.31495375,151.1146378
Inverell Region - West,-29.31495375,151.1146378
Jamisontown - South Penrith,-33.7679769,150.674815
Jilliby - Yarramalong,-33.2483333,151.3844444
Jindabyne - Berridale,-36.37088,148.8213304
Junee,-34.81502565,147.672675
Karabar,-35.3759426,149.2328718
Kariong,-33.44,151.3011111
Katoomba - Leura,-33.7118817,150.3304809
Kellyville,-33.71308785,150.9351248
Kempsey,-31.0798092,152.842289
Kempsey Region,-31.0798092,152.842289
Kensington (NSW),-33.9117191,151.2195058
Kiama,-34.6958202,150.7959123
Kiama Downs - Minnamurra,-34.633732,150.8592716
Kiama Hinterland - Gerringong,-34.6958202,150.7959123
Kincumber - Picketts Valley,-33.465,151.3927778
Kingscliff - Fingal Head,-28.2566667,153.5761111
Kingsford,-33.9215922,151.2272307
Kingsgrove (North) - Earlwood,-33.9371844,151.0996523
Kingsgrove (South) - Bardwell Park,-33.9371844,151.0996523
Kingswood - Werrington,-36.7430556,149.8238889
Kogarah,-33.968226,151.1354509
Kogarah Bay - Carlton - Allawah,-33.9816792,151.1239702
Korora - Emerald Beach,-30.243685,153.1457796
Kurrajong Heights - Ebenezer,-33.5236086,150.626953
Kurri Kurri - Abermain,-32.8308446,151.4809962
Kyogle,-28.64629175,152.7444244
Lake Munmorah - Mannering Park,-33.1936111,151.5719444
Lakemba,-33.9196311,151.0749236
Lalor Park - Kings Langley,-33.7649937,150.9288833
Lambton - New Lambton,-32.9277778,151.7108333
Lane Cove - Greenwich,-33.8300104,151.1855621
Laurieton - Bonny Hills,-31.64275675,152.7969187
Lavington,-36.0507987,146.9336621
Lawson - Hazelbrook - Linden,-33.7194479,150.4315623
Leeton,-34.52975335,146.293258
Leichhardt - Annandale,-33.8819328,151.155867
Lemon Tree Passage - Tanilba Bay,-32.7327199,152.0359761
Lennox Head - Skennars Head,-28.8316667,153.5886111
Lethbridge Park - Tregear,-33.7386041,150.8014499
Leumeah - Minto Heights,-34.0543113,150.8371354
Lidcombe,-33.8630649,151.0456771
Lilli Pilli - Port Hacking - Dolans Bay,-34.0680729,151.1159938
Lilyfield - Rozelle,-33.8712685,151.171166
Lindfield - Roseville,-33.7802907,151.1595848
Lismore,-28.79363905,153.2670868
Lismore Region,-28.79363905,153.2670868
Lithgow,-33.3201229,150.1950254
Lithgow Region,-33.3201229,150.1950254
Liverpool,-33.9198252,150.92566
Lord Howe Island,-31.5540166,159.0856256
Lurnea - Cartwright,-33.9358333,150.8972222
Macksville - Scotts Head,-30.7448291,152.9974068
Maclean - Yamba - Iluka,-29.4566667,153.2011111
Macquarie Fields - Glenfield,-33.9904477,150.8849303
